-842.161,-1358.97,11648,Right A Site,-565.905,-796.975,12491.7,Throw,de_vertigo
-876.966,-1032.92,11648,Headshot,-620.794,-800.277,12650.2,Throw,de_vertigo
-656.031,-1016.97,11648,Left A Site,-1446.82,-416.102,11826.4,Jumpthrow,de_vertigo
-2077.03,-1037.97,11488,Middle Window,-1912.81,-542.907,12405.2,Jumpthrow,de_vertigo
-2205.97,-1510.02,11488,B Headshot,-2256.76,-599.139,11961.6,Jumpthrow,de_vertigo
-1887.58,-1328.03,11488,Right Generator,-1868.48,-486.755,12092.3,Jumpthrow,de_vertigo
-2240.85,-160.876,11616,Left Generator,-2105.05,108.241,12625.5,Jumpthrow,de_vertigo
-746.029,939.969,11776,Multiple,-1635.6,586.322,12129.2,Jumpthrow (B Ramp),de_vertigo
-746.029,939.969,11776,Multiple,-1582.62,402.206,11944.5,Jumpthrow (Deep Middle),de_vertigo
-1021.02,993.969,11776,B Retake,-1845.9,688.072,12315.4,Throw,de_vertigo
-1418.03,-1599.97,11489,Short,-1333.55,-1471.54,12541.1,Jumpthrow,de_vertigo
-1082.99,-163.969,11488,Ramp,-563.191,-979.139,11807.6,Throw,de_vertigo
-723.032,-1082.69,11648,Top Ramp,-30.7806,-1794.34,11831.8,Throw,de_vertigo
-880.028,-1295.97,11648,Elevator,-84.7339,-700.148,11823.9,W + Jumpthrow,de_vertigo
-1680.03,19.9688,11776,Middle Cover,-2656.14,233.106,11882.3,W + Jumpthrow,de_vertigo
-1969.97,-72.1672,11776,Ct Spawn,-1085.8,357.023,12024.5,Throw,de_vertigo
-63.0312,-354.969,11776,Multiple,-815.665,-1011.15,11785.5,Jumpthrow (Ivy),de_vertigo
-63.0312,-354.969,11776,Multiple,-764.475,-829.274,12372,Throw (Short),de_vertigo
-294.969,62.0296,11776,A Retake,-338.122,-224.482,12797.1,Throw,de_vertigo
-764.345,-376.24,11776,Short,-1338.43,-896.913,12472,Throw,de_vertigo
-1713.03,1096.97,11755.9,B Stairs,-2080.77,168.976,11877.3,Jumpthrow,de_vertigo
